,cases,deaths,tests_negative,tests_total,recovered
2020-01-25,3,0,0,0,0
2020-01-26,3,0,0,0,0
2020-01-27,4,0,0,0,0
2020-01-28,4,0,0,0,0
2020-01-29,4,0,0,0,0
2020-01-30,4,0,0,74,0
2020-01-31,4,0,0,76,0
2020-02-01,4,0,0,100,0
2020-02-02,4,0,0,128,0
2020-02-03,4,0,0,158,0
2020-02-04,4,0,0,199,0
2020-02-05,4,0,0,335,0
2020-02-06,4,0,0,345,0
2020-02-07,4,0,0,393,0
2020-02-08,4,0,0,562,0
2020-02-09,4,0,0,629,0
2020-02-10,4,0,0,674,0
2020-02-11,4,0,0,691,0
2020-02-12,4,0,0,818,0
2020-02-13,4,0,0,884,0
2020-02-14,4,0,0,1053,0
2020-02-15,4,0,0,1053,0
2020-02-16,4,0,0,1188,0
2020-02-17,4,0,0,1222,0
2020-02-18,4,0,0,1401,0
2020-02-19,4,0,0,1551,0
2020-02-20,4,0,0,1702,0
2020-02-21,4,0,0,1819,0
2020-02-22,4,0,0,1983,0
2020-02-23,4,0,0,2034,0
2020-02-24,4,0,0,2074,0
2020-02-25,4,0,0,2253,0
2020-02-26,4,0,0,2480,0
2020-02-27,4,0,0,2480,0
2020-02-28,4,0,0,2480,0
2020-02-29,4,0,0,2480,0
2020-03-01,6,0,0,2480,0
2020-03-02,6,0,0,2480,0
2020-03-03,15,1,0,2480,0
2020-03-04,22,1,0,2480,0
2020-03-05,25,1,0,2480,0
2020-03-06,28,1,0,2480,0
2020-03-07,36,1,6690,7214,0
2020-03-08,40,2,7361,8008,0
2020-03-09,47,2,7848,8371,0
2020-03-10,61,2,9096,10165,0
2020-03-11,65,2,9152,10221,0
2020-03-12,78,2,11040,14856,0
2020-03-13,92,3,14665,16685,0
2020-03-14,112,4,18716,20496,0
2020-03-15,134,4,20511,22567,0
2020-03-16,171,4,25511,26964,0
2020-03-17,210,5,28552,30244,0
2020-03-18,267,5,33387,35800,0
2020-03-19,353,6,33387,39089,0
2020-03-20,436,6,40298,46892,0
2020-03-21,533,6,52130,52633,0
2020-03-22,669,6,56272,56941,0
2020-03-23,818,7,61030,61848,0
2020-03-24,1029,7,61030,68177,0
2020-03-25,1219,7,72787,74006,0
2020-03-26,1405,7,76284,77689,0
2020-03-27,1617,8,76284,77689,0
2020-03-28,1791,8,91308,93099,0
2020-03-29,1918,8,94534,96452,0
2020-03-30,2032,8,97919,99951,0
2020-03-31,2182,9,103361,105543,0
2020-04-01,2298,10,103361,105543,0
2020-04-02,2389,12,112066,114455,0
2020-04-03,2493,12,112066,117633,0
2020-04-04,2580,16,118863,121443,0
2020-04-05,2637,19,121401,124038,0
2020-04-06,2686,21,123460,126146,0
2020-04-07,2734,21,123460,126146,0
2020-04-08,2773,21,130224,132997,1356
